State,Year,Month,Season,Temperature_C,Humidity_pct,Pressure_hPa,WindSpeed_mps,CloudCover_pct,Rainfall_mm
Rajasthan,2013,9,Monsoon,31.5,45.0,1024.4,3.1,68.4,74.6
Rajasthan,2013,10,Post-Monsoon,34.9,23.5,1021.1,2.5,20.3,31.1
Rajasthan,2013,11,Post-Monsoon,32.4,30.2,1013.5,2.1,36.7,55.3
Rajasthan,2013,12,Winter,31.2,25.1,1027.9,0.5,32.7,41.8
Rajasthan,2014,1,Winter,28.6,30.0,1011.5,2.0,26.2,35.9
Rajasthan,2014,2,Winter,28.7,29.5,1019.3,2.8,47.2,42.2
Rajasthan,2014,3,Pre-Monsoon,33.3,30.5,1018.2,3.1,34.7,28.8
Rajasthan,2014,4,Pre-Monsoon,37.6,30.3,1016.8,2.3,31.7,41.2
Rajasthan,2014,5,Pre-Monsoon,36.7,41.5,1022.1,2.5,45.2,32.2
Rajasthan,2014,6,Monsoon,32.6,54.0,1013.7,5.1,62.7,83.3
Rajasthan,2014,7,Monsoon,30.0,45.3,1021.1,5.3,84.4,69.1
Rajasthan,2014,8,Monsoon,32.0,47.8,1013.5,3.8,89.6,64.4
Rajasthan,2014,9,Monsoon,30.3,52.4,1015.9,3.9,62.7,56.1
Rajasthan,2014,10,Post-Monsoon,32.5,30.9,1009.7,2.7,13.3,0.0
Rajasthan,2014,11,Post-Monsoon,30.6,33.3,1015.2,4.0,47.9,34.3
Rajasthan,2014,12,Winter,28.0,27.0,1012.9,2.2,39.8,18.5
Rajasthan,2015,1,Winter,29.0,47.3,1012.2,2.9,45.4,36.2
Rajasthan,2015,2,Winter,28.4,35.1,1013.7,1.7,35.4,37.7
Rajasthan,2015,3,Pre-Monsoon,37.9,42.7,1028.1,1.7,48.1,39.6
Rajasthan,2015,4,Pre-Monsoon,39.4,28.5,1007.1,1.9,3.1,4.4
Rajasthan,2015,5,Pre-Monsoon,33.5,36.2,1015.4,4.4,49.3,30.4
Rajasthan,2015,6,Monsoon,30.2,58.9,1003.8,6.3,92.7,69.0
Rajasthan,2015,7,Monsoon,28.6,65.8,1012.2,5.7,51.1,44.4
Rajasthan,2015,8,Monsoon,32.0,55.4,1009.8,5.1,59.0,51.5
Rajasthan,2015,9,Monsoon,32.2,59.1,1018.0,3.4,52.0,66.8
Rajasthan,2015,10,Post-Monsoon,32.7,29.0,1023.9,2.6,52.7,36.0
Rajasthan,2015,11,Post-Monsoon,36.1,49.0,1011.3,3.5,44.7,61.6
Rajasthan,2015,12,Winter,26.1,40.5,1020.4,0.7,17.3,0.0
Rajasthan,2016,1,Winter,27.5,40.7,1023.5,2.6,59.4,35.0
Rajasthan,2016,2,Winter,24.6,34.6,1015.7,2.5,4.0,15.9
Rajasthan,2016,3,Pre-Monsoon,32.4,40.4,1015.6,1.6,27.3,18.6
Rajasthan,2016,4,Pre-Monsoon,34.9,42.6,1006.1,3.0,27.0,28.9
Rajasthan,2016,5,Pre-Monsoon,34.8,26.7,1009.1,1.3,64.5,64.7
Rajasthan,2016,6,Monsoon,30.6,56.7,1012.2,4.3,84.2,111.7
Rajasthan,2016,7,Monsoon,30.9,50.4,1011.1,2.2,52.3,95.0
Rajasthan,2016,8,Monsoon,35.3,53.0,1017.0,4.8,100.0,127.4
Rajasthan,2016,9,Monsoon,31.7,47.4,1001.8,4.7,63.7,50.2
Rajasthan,2016,10,Post-Monsoon,30.7,26.3,1024.8,3.4,34.9,63.4
Rajasthan,2016,11,Post-Monsoon,32.2,28.1,1023.7,3.0,19.4,19.1
Rajasthan,2016,12,Winter,26.2,23.9,1019.5,4.4,14.0,29.0
Rajasthan,2017,1,Winter,26.7,31.1,1008.9,1.6,35.7,27.1
Rajasthan,2017,2,Winter,28.5,34.6,1011.3,1.6,26.3,52.4
Rajasthan,2017,3,Pre-Monsoon,36.0,27.2,1013.7,3.3,10.0,29.7
Rajasthan,2017,4,Pre-Monsoon,33.7,39.6,1007.7,0.7,10.6,30.1
Rajasthan,2017,5,Pre-Monsoon,35.5,27.8,1017.5,0.8,34.0,12.7
Rajasthan,2017,6,Monsoon,30.7,55.4,1007.0,4.1,90.1,91.0
Rajasthan,2017,7,Monsoon,33.7,46.0,1016.7,5.9,37.9,35.3
Rajasthan,2017,8,Monsoon,33.2,53.4,1015.6,3.9,76.3,83.7
Rajasthan,2017,9,Monsoon,34.3,57.0,1015.4,4.1,67.7,73.6
Rajasthan,2017,10,Post-Monsoon,32.8,31.6,1015.0,4.6,48.1,44.9
Rajasthan,2017,11,Post-Monsoon,34.4,31.7,998.7,1.5,6.9,18.1
Rajasthan,2017,12,Winter,28.0,48.4,1015.3,2.3,47.4,16.7
Rajasthan,2018,1,Winter,28.5,41.2,1002.6,3.6,40.1,47.4
Rajasthan,2018,2,Winter,29.3,53.2,1014.3,2.7,28.1,31.7
Rajasthan,2018,3,Pre-Monsoon,36.7,28.2,1013.5,2.0,42.2,51.9
Rajasthan,2018,4,Pre-Monsoon,37.1,30.9,1011.1,1.5,28.3,44.3
Rajasthan,2018,5,Pre-Monsoon,36.5,27.6,1019.1,3.9,41.2,79.4
Rajasthan,2018,6,Monsoon,30.5,45.0,1000.5,6.0,84.8,93.5
Rajasthan,2018,7,Monsoon,32.6,46.0,1030.1,4.6,76.6,91.4
Rajasthan,2018,8,Monsoon,33.0,56.8,1007.5,5.0,100.0,138.0
Rajasthan,2018,9,Monsoon,35.2,50.9,1006.1,4.4,75.8,110.7
Rajasthan,2018,10,Post-Monsoon,28.6,47.2,1011.9,2.1,19.8,6.3
Rajasthan,2018,11,Post-Monsoon,33.6,35.6,1004.0,1.2,30.0,77.1
Rajasthan,2018,12,Winter,27.5,23.0,1011.3,2.2,0.0,8.2
Rajasthan,2019,1,Winter,27.5,40.6,1025.9,3.6,31.0,21.6
Rajasthan,2019,2,Winter,33.1,35.5,1013.1,2.5,38.0,56.6
Rajasthan,2019,3,Pre-Monsoon,33.9,30.6,1012.8,2.0,24.3,45.3
Rajasthan,2019,4,Pre-Monsoon,34.5,47.0,994.4,3.6,53.7,41.5
Rajasthan,2019,5,Pre-Monsoon,34.3,32.0,1003.1,1.7,18.3,88.0
Rajasthan,2019,6,Monsoon,33.9,65.2,1018.1,3.4,67.1,124.0
Rajasthan,2019,7,Monsoon,29.6,60.7,1011.3,4.1,85.7,142.1
Rajasthan,2019,8,Monsoon,31.3,64.3,1005.4,5.1,83.9,126.5
Rajasthan,2019,9,Monsoon,32.7,45.0,1019.5,4.3,67.2,122.1
Rajasthan,2019,10,Post-Monsoon,30.6,23.7,1002.1,3.1,15.8,79.5
Rajasthan,2019,11,Post-Monsoon,27.8,48.6,1014.5,2.4,26.8,68.6
Rajasthan,2019,12,Winter,27.9,43.8,1013.8,2.7,29.5,56.3
Rajasthan,2020,1,Winter,28.6,21.3,1003.6,3.2,37.6,49.1
Rajasthan,2020,2,Winter,28.0,37.8,1009.2,1.7,37.9,38.7
Rajasthan,2020,3,Pre-Monsoon,35.8,21.4,1020.2,3.0,38.8,72.1
Rajasthan,2020,4,Pre-Monsoon,38.3,43.1,1000.1,1.2,25.6,60.9
Rajasthan,2020,5,Pre-Monsoon,36.0,29.2,1014.3,1.7,25.8,5.6
Rajasthan,2020,6,Monsoon,30.2,44.2,1006.2,5.6,60.8,162.9
Rajasthan,2020,7,Monsoon,33.0,56.5,1007.0,5.2,66.4,112.6
Rajasthan,2020,8,Monsoon,37.1,54.2,1021.0,3.8,74.5,154.9
Rajasthan,2020,9,Monsoon,30.7,69.5,1018.0,3.9,84.5,158.0
Rajasthan,2020,10,Post-Monsoon,33.2,22.4,1007.9,2.3,33.9,64.8
Rajasthan,2020,11,Post-Monsoon,32.4,24.3,1015.7,3.1,43.4,84.1
Rajasthan,2020,12,Winter,29.7,38.7,1012.5,0.8,41.4,72.2
Rajasthan,2021,1,Winter,28.5,24.8,1005.4,3.6,34.4,53.9
Rajasthan,2021,2,Winter,28.1,35.2,1019.6,2.0,36.4,33.2
Rajasthan,2021,3,Pre-Monsoon,34.1,32.5,1014.6,2.0,53.8,38.9
Rajasthan,2021,4,Pre-Monsoon,34.6,31.5,1023.1,2.7,50.5,20.3
Rajasthan,2021,5,Pre-Monsoon,35.5,42.1,1013.6,3.6,27.2,69.8
Rajasthan,2021,6,Monsoon,36.6,52.1,1009.9,6.0,98.7,95.8
Rajasthan,2021,7,Monsoon,31.2,52.7,1003.6,3.6,59.9,62.8
Rajasthan,2021,8,Monsoon,31.9,56.9,1023.9,3.5,89.8,92.1
Rajasthan,2021,9,Monsoon,31.9,60.4,1005.1,4.9,77.5,106.0
Rajasthan,2021,10,Post-Monsoon,32.6,54.6,1008.5,2.0,25.7,38.8
Rajasthan,2021,11,Post-Monsoon,30.7,44.5,1022.9,1.9,22.5,45.0
Rajasthan,2021,12,Winter,26.9,40.1,1014.4,1.0,58.2,100.8
Rajasthan,2022,1,Winter,26.8,31.9,1015.0,2.8,44.9,89.2
Rajasthan,2022,2,Winter,27.6,28.6,1003.3,1.8,34.5,79.3
Rajasthan,2022,3,Pre-Monsoon,34.0,36.8,1012.9,3.7,72.9,64.6
Rajasthan,2022,4,Pre-Monsoon,34.0,43.4,1017.8,4.3,43.8,46.7
Rajasthan,2022,5,Pre-Monsoon,36.2,43.9,1018.7,3.0,51.0,83.0
Rajasthan,2022,6,Monsoon,34.8,60.2,1011.8,4.6,93.1,89.5
Rajasthan,2022,7,Monsoon,32.7,51.9,1013.2,5.8,77.9,89.1
Rajasthan,2022,8,Monsoon,29.3,61.0,1017.5,6.7,70.4,90.3
Rajasthan,2022,9,Monsoon,32.5,67.6,1012.3,4.8,84.1,106.7
Rajasthan,2022,10,Post-Monsoon,31.1,36.6,1020.5,1.5,37.0,29.3
Rajasthan,2022,11,Post-Monsoon,34.4,22.8,1009.1,2.9,58.5,55.5
Rajasthan,2022,12,Winter,26.9,50.0,1002.9,0.3,41.6,52.1
Rajasthan,2023,1,Winter,26.0,40.7,1014.7,1.9,15.8,48.6
Rajasthan,2023,2,Winter,29.3,34.2,1025.9,1.4,12.1,6.0
Rajasthan,2023,3,Pre-Monsoon,34.9,36.9,1011.3,2.9,16.2,59.5
Rajasthan,2023,4,Pre-Monsoon,34.8,43.9,1015.4,3.0,43.5,64.0
Rajasthan,2023,5,Pre-Monsoon,36.3,45.6,1014.4,3.2,33.7,77.4
Rajasthan,2023,6,Monsoon,30.6,69.4,1012.7,3.1,76.9,84.5
Rajasthan,2023,7,Monsoon,33.7,49.8,1009.9,2.6,68.2,32.0
Rajasthan,2023,8,Monsoon,28.8,61.1,1018.5,4.9,60.5,76.7
Rajasthan,2023,9,Monsoon,32.0,45.7,1023.5,5.4,71.7,75.9
Rajasthan,2023,10,Post-Monsoon,32.4,18.7,1011.3,1.8,20.0,17.1
Rajasthan,2023,11,Post-Monsoon,35.6,40.1,1009.0,3.1,56.0,83.8
Rajasthan,2023,12,Winter,28.1,29.8,1017.9,2.9,48.4,62.2
Rajasthan,2024,1,Winter,30.1,30.7,1022.2,2.7,66.1,48.7
Rajasthan,2024,2,Winter,31.5,36.6,1008.4,2.0,30.2,51.2
Rajasthan,2024,3,Pre-Monsoon,36.0,30.4,1012.8,4.6,60.9,70.6
Rajasthan,2024,4,Pre-Monsoon,35.1,36.0,1017.3,1.5,31.1,6.2
Rajasthan,2024,5,Pre-Monsoon,35.8,40.2,1009.6,4.1,16.6,4.3
Rajasthan,2024,6,Monsoon,32.4,63.4,1024.8,4.0,91.2,100.3
Rajasthan,2024,7,Monsoon,31.7,62.1,1017.6,2.9,97.1,135.5
Rajasthan,2024,8,Monsoon,30.7,58.2,1016.5,4.8,66.7,68.3
Rajasthan,2024,9,Monsoon,31.9,64.4,1016.8,4.1,86.6,44.2
Rajasthan,2024,10,Post-Monsoon,34.3,21.1,1010.5,1.4,15.6,44.1
Rajasthan,2024,11,Post-Monsoon,31.1,37.8,1012.7,3.0,36.2,20.9
Rajasthan,2024,12,Winter,30.0,31.0,1002.1,2.1,57.5,80.8
Maharashtra,2010,1,Winter,25.3,57.2,1010.7,4.6,40.7,71.2
Maharashtra,2010,2,Winter,28.1,61.9,1011.2,2.3,33.9,59.1
Maharashtra,2010,3,Pre-Monsoon,34.5,60.4,1018.1,2.4,36.2,18.0
Maharashtra,2010,4,Pre-Monsoon,34.8,62.8,1020.0,-0.4,66.3,79.9
Maharashtra,2010,5,Pre-Monsoon,35.2,51.7,1017.3,1.4,25.6,82.9
Maharashtra,2010,6,Monsoon,29.6,81.7,1019.1,5.0,77.3,110.5
Maharashtra,2010,7,Monsoon,34.8,79.5,1014.4,5.6,91.6,139.0
Maharashtra,2010,8,Monsoon,31.3,70.9,1024.4,3.4,79.5,81.3
Maharashtra,2010,9,Monsoon,29.9,82.6,1015.2,4.9,99.2,131.9
Maharashtra,2010,10,Post-Monsoon,29.5,67.7,1021.3,1.3,44.0,81.3
Maharashtra,2010,11,Post-Monsoon,29.4,71.0,1011.9,2.6,32.4,64.1
Maharashtra,2010,12,Winter,23.8,48.5,1024.2,1.7,20.1,0.0
Maharashtra,2011,1,Winter,24.7,49.4,1024.5,3.5,24.7,84.6
Maharashtra,2011,2,Winter,28.0,57.4,995.5,4.8,14.2,14.7
Maharashtra,2011,3,Pre-Monsoon,35.0,79.5,1022.7,3.1,43.9,90.8
Maharashtra,2011,4,Pre-Monsoon,34.5,62.2,1013.7,2.4,23.7,45.2
Maharashtra,2011,5,Pre-Monsoon,29.6,59.2,1006.1,1.4,37.7,91.1
Maharashtra,2011,6,Monsoon,31.8,67.4,1006.1,5.4,60.3,81.8
Maharashtra,2011,7,Monsoon,31.1,72.3,1013.7,3.2,66.0,97.0
Maharashtra,2011,8,Monsoon,26.8,83.5,1012.9,5.1,78.4,134.9
Maharashtra,2011,9,Monsoon,30.3,76.6,1013.9,5.0,75.7,101.8
Maharashtra,2011,10,Post-Monsoon,28.6,54.7,1003.2,4.2,16.3,30.8
Maharashtra,2011,11,Post-Monsoon,28.6,67.2,1010.9,3.7,24.9,61.4
Maharashtra,2011,12,Winter,24.3,77.2,1004.7,2.8,44.5,88.3
Maharashtra,2012,1,Winter,25.6,59.0,1013.3,2.4,49.5,113.8
Maharashtra,2012,2,Winter,24.9,49.0,1012.4,5.1,22.9,75.6
Maharashtra,2012,3,Pre-Monsoon,36.4,55.6,1017.0,4.1,29.3,45.9
Maharashtra,2012,4,Pre-Monsoon,31.8,51.9,1008.5,1.3,35.5,40.8
Maharashtra,2012,5,Pre-Monsoon,33.5,47.6,1015.3,3.3,5.1,34.0
Maharashtra,2012,6,Monsoon,32.5,70.3,1024.7,4.9,64.4,82.7
Maharashtra,2012,7,Monsoon,31.1,80.6,1016.8,3.6,77.5,75.4
Maharashtra,2012,8,Monsoon,29.8,72.8,1007.9,5.7,91.4,125.8
Maharashtra,2012,9,Monsoon,27.8,77.5,1021.5,4.6,100.0,125.8
Maharashtra,2012,10,Post-Monsoon,30.4,57.5,1013.9,2.3,45.6,84.6
Maharashtra,2012,11,Post-Monsoon,28.4,49.4,1000.1,3.0,18.4,1.3
Maharashtra,2012,12,Winter,26.8,79.9,1013.0,3.3,36.2,69.8
Maharashtra,2013,1,Winter,27.8,57.7,1014.9,2.8,25.0,68.5
Maharashtra,2013,2,Winter,25.7,54.0,1016.8,1.6,35.4,53.8
Maharashtra,2013,3,Pre-Monsoon,35.2,63.8,1012.8,3.3,55.9,89.0
Maharashtra,2013,4,Pre-Monsoon,33.0,49.5,1005.5,2.2,25.9,44.4
Maharashtra,2013,5,Pre-Monsoon,33.1,64.2,1012.5,3.0,36.0,22.8
Maharashtra,2013,6,Monsoon,28.1,78.8,1004.5,5.1,98.0,148.2
Maharashtra,2013,7,Monsoon,29.6,91.9,1014.0,4.2,65.8,96.1
Maharashtra,2013,8,Monsoon,29.2,81.4,1014.1,4.5,81.6,132.2
Maharashtra,2013,9,Monsoon,31.9,68.1,995.1,5.4,54.5,81.9
Maharashtra,2013,10,Post-Monsoon,27.7,45.6,1016.8,3.3,26.4,0.0
Maharashtra,2013,11,Post-Monsoon,28.9,63.1,1002.6,2.7,34.8,76.2
Maharashtra,2013,12,Winter,26.2,52.2,1021.4,2.3,34.6,31.8
Maharashtra,2014,1,Winter,25.1,52.9,1011.8,4.2,14.4,4.4
Maharashtra,2014,2,Winter,28.9,58.3,1008.3,3.5,25.9,62.2
Maharashtra,2014,3,Pre-Monsoon,34.4,56.1,1028.1,1.9,46.1,45.7
Maharashtra,2014,4,Pre-Monsoon,35.6,72.5,1013.2,1.7,41.9,40.7
Maharashtra,2014,5,Pre-Monsoon,37.0,61.1,1010.4,2.7,14.8,17.4
Maharashtra,2014,6,Monsoon,32.4,74.7,1005.7,5.0,92.8,91.8
Maharashtra,2014,7,Monsoon,32.0,73.9,1003.0,6.0,70.2,66.0
Maharashtra,2014,8,Monsoon,32.7,84.4,1016.2,6.7,65.3,80.5
Maharashtra,2014,9,Monsoon,30.1,82.1,1023.7,5.0,83.1,89.4
Maharashtra,2014,10,Post-Monsoon,29.3,53.3,1005.7,0.5,65.8,42.2
Maharashtra,2014,11,Post-Monsoon,29.6,57.8,1015.2,3.3,47.9,38.7
Maharashtra,2014,12,Winter,25.7,62.3,1011.3,4.1,42.4,57.0
Maharashtra,2015,1,Winter,27.3,69.4,1014.3,1.2,41.0,39.0
Maharashtra,2015,2,Winter,24.9,64.7,1021.7,2.5,39.6,67.1
Maharashtra,2015,3,Pre-Monsoon,33.5,80.8,1017.0,0.7,46.3,60.5
Maharashtra,2015,4,Pre-Monsoon,35.6,65.4,1012.0,1.3,31.9,30.0
Maharashtra,2015,5,Pre-Monsoon,31.8,64.7,1024.7,2.9,17.1,36.0
Maharashtra,2015,6,Monsoon,32.4,75.1,1012.1,4.5,63.2,72.7
Maharashtra,2015,7,Monsoon,29.8,83.4,1006.8,4.1,85.8,76.0
Maharashtra,2015,8,Monsoon,33.5,76.8,1014.6,5.4,53.7,33.6
Maharashtra,2015,9,Monsoon,26.9,90.1,1009.1,7.1,66.5,75.1
Maharashtra,2015,10,Post-Monsoon,33.1,76.0,1027.4,3.7,50.4,60.8
Maharashtra,2015,11,Post-Monsoon,31.6,55.6,1007.3,2.5,32.4,33.1
Maharashtra,2015,12,Winter,27.4,67.6,1013.6,4.0,17.9,31.9
Maharashtra,2016,1,Winter,24.6,45.1,1012.4,2.4,57.7,80.8
Maharashtra,2016,2,Winter,24.0,74.8,1021.5,3.1,31.6,42.4
Maharashtra,2016,3,Pre-Monsoon,32.3,68.7,1026.2,4.0,27.7,30.5
Maharashtra,2016,4,Pre-Monsoon,33.3,45.9,1015.3,2.4,28.0,11.9
Maharashtra,2016,5,Pre-Monsoon,34.0,55.7,1004.8,-0.4,34.6,94.6
Maharashtra,2016,6,Monsoon,33.3,76.3,1008.8,5.0,60.0,96.3
Maharashtra,2016,7,Monsoon,31.5,89.8,1012.3,4.3,61.8,81.9
Maharashtra,2016,8,Monsoon,29.5,82.9,1019.4,3.7,97.4,114.5
Maharashtra,2016,9,Monsoon,30.0,74.0,996.0,5.4,86.1,109.2
Maharashtra,2016,10,Post-Monsoon,30.1,64.1,1002.1,2.0,46.9,50.1
Maharashtra,2016,11,Post-Monsoon,30.6,49.1,1016.3,2.5,10.8,54.9
Maharashtra,2016,12,Winter,24.5,53.5,1014.4,3.6,19.8,43.4
Maharashtra,2017,1,Winter,26.9,65.5,1014.2,2.1,22.6,53.4
Maharashtra,2017,2,Winter,23.9,36.6,1016.1,3.4,0.0,0.0
Maharashtra,2017,3,Pre-Monsoon,34.2,76.5,1013.1,1.8,32.3,93.9
Maharashtra,2017,4,Pre-Monsoon,31.7,53.6,1009.6,1.5,36.8,90.3
Maharashtra,2017,5,Pre-Monsoon,33.6,58.0,1011.0,0.9,48.2,67.4
Maharashtra,2017,6,Monsoon,29.6,105.5,1015.1,3.7,68.6,135.1
Maharashtra,2017,7,Monsoon,30.2,68.5,1019.4,3.8,100.0,134.9
Maharashtra,2017,8,Monsoon,29.1,90.2,1013.5,5.4,82.3,97.6
Maharashtra,2017,9,Monsoon,28.7,88.2,1010.7,4.1,60.7,105.7
Maharashtra,2017,10,Post-Monsoon,34.1,51.5,1013.2,3.9,33.8,61.7
Maharashtra,2017,11,Post-Monsoon,27.9,63.4,1011.7,3.5,52.8,127.4
Maharashtra,2017,12,Winter,27.2,62.6,1014.4,2.1,40.1,58.0
Maharashtra,2018,1,Winter,26.3,70.5,1006.0,3.6,54.8,81.4
Maharashtra,2018,2,Winter,21.8,55.1,1022.1,2.5,20.0,30.2
Maharashtra,2018,3,Pre-Monsoon,34.7,64.4,1011.3,2.1,29.1,38.9
Maharashtra,2018,4,Pre-Monsoon,36.2,57.4,1021.5,4.0,50.0,57.2
Maharashtra,2018,5,Pre-Monsoon,33.8,59.8,1006.7,2.8,17.3,70.8
Maharashtra,2018,6,Monsoon,29.1,81.6,1015.0,4.2,83.8,100.5
Maharashtra,2018,7,Monsoon,31.7,69.2,1013.9,6.4,60.0,70.4
Maharashtra,2018,8,Monsoon,31.0,81.4,1015.5,5.0,84.5,132.5
Maharashtra,2018,9,Monsoon,30.8,78.1,1017.7,6.4,73.0,78.7
Maharashtra,2018,10,Post-Monsoon,32.2,59.0,997.8,3.3,27.0,56.1
Maharashtra,2018,11,Post-Monsoon,30.7,61.5,1018.0,2.1,42.7,58.7
Maharashtra,2018,12,Winter,27.5,64.9,1006.5,3.6,27.0,74.1
Maharashtra,2019,1,Winter,26.7,74.7,1011.4,2.2,34.7,80.5
Maharashtra,2019,2,Winter,27.6,47.1,1005.6,1.4,49.3,129.5
Maharashtra,2019,3,Pre-Monsoon,32.8,58.6,1013.5,3.7,21.1,66.9
Maharashtra,2019,4,Pre-Monsoon,35.0,64.0,1014.3,3.5,0.0,60.1
Maharashtra,2019,5,Pre-Monsoon,31.7,45.4,1016.6,3.9,32.9,85.8
Maharashtra,2019,6,Monsoon,33.2,90.5,1024.5,5.2,76.1,95.4
Maharashtra,2019,7,Monsoon,29.5,73.3,1028.2,4.3,76.8,136.7
Maharashtra,2019,8,Monsoon,30.1,93.6,1008.6,4.7,63.9,100.6
Maharashtra,2019,9,Monsoon,28.8,79.7,1010.0,3.8,53.9,110.9
Maharashtra,2019,10,Post-Monsoon,27.0,66.1,1013.6,1.0,30.4,56.5
Maharashtra,2019,11,Post-Monsoon,30.6,70.7,999.9,2.6,32.6,106.6
Maharashtra,2019,12,Winter,26.4,54.0,1010.8,1.7,51.1,90.2
Maharashtra,2020,1,Winter,29.8,59.5,1008.0,1.0,8.0,9.3
Maharashtra,2020,2,Winter,26.5,64.1,1001.9,3.4,27.8,81.7
Maharashtra,2020,3,Pre-Monsoon,36.2,67.2,1011.1,1.6,2.7,30.7
Maharashtra,2020,4,Pre-Monsoon,32.6,52.1,1012.1,2.6,31.6,50.3
Maharashtra,2020,5,Pre-Monsoon,33.3,63.5,1005.4,3.9,33.5,82.1
Maharashtra,2020,6,Monsoon,31.4,81.9,1019.7,4.8,65.8,131.5
Maharashtra,2020,7,Monsoon,27.7,80.9,1012.8,4.3,73.1,83.5
Maharashtra,2020,8,Monsoon,28.9,80.7,1014.1,3.5,94.0,130.9
Maharashtra,2020,9,Monsoon,31.9,83.4,1008.5,6.3,57.1,143.9
Maharashtra,2020,10,Post-Monsoon,32.0,54.6,1022.7,2.2,39.3,78.5
Maharashtra,2020,11,Post-Monsoon,29.7,66.5,1018.6,0.8,54.6,55.7
Maharashtra,2020,12,Winter,28.1,69.0,1005.4,2.1,18.4,64.6
Maharashtra,2021,1,Winter,25.4,66.2,1022.2,3.9,26.6,47.9
Maharashtra,2021,2,Winter,22.6,53.6,1019.8,4.1,16.5,25.6
Maharashtra,2021,3,Pre-Monsoon,32.9,62.2,1007.3,2.9,27.9,56.4
